"full_name","team","age","position","goals_overall","assists_overall"
"Seon-Min Moon","South_Korea",32,"Midfielder",0,0
"Seung-Gyu Kim","South_Korea",33,"Goalkeeper",0,0
"Seung-Hyeon Jung","South_Korea",30,"Defender",0,0
"Soon-Min Lee","South_Korea",30,"Defender",0,0
"Tae-Hwan Kim","South_Korea",35,"Defender",0,0
"Woo-Yeong Jeong","South_Korea",24,"Midfielder",1,0
"Yong-Woo Park","South_Korea",30,"Midfielder",1,0
"Young-Gwon Kim","South_Korea",34,"Defender",0,0
"Young-Woo Seol","South_Korea",25,"Defender",0,1
"Ignacio Insa Bohigues","Malaysia",38,"Midfielder",0,0
"Jordi Amat","Indonesia",32,"Defender",0,0
"Yasser Hamed Mayor","Palestine",26,"Defender",0,0
"Aiham Ousou","Syria",24,"Defender",0,0
"Alexander Michel","Lebanon",31,"Defender",0,0
"Amir Al-Ammari","Iraq",27,"Midfielder",0,0
"Amr Kaddoura","Palestine",30,"Goalkeeper",0,0
"Antonio Yakoub","Syria",22,"Midfielder",0,0
"Elias Dolah","Thailand",31,"Midfielder",0,0
"Elmar Abraham","Syria",25,"Midfielder",0,0
"Hussein Ali","Iraq",22,"Defender",0,0
"Michel Termanini","Palestine",26,"Defender",0,0
"Montader Madjed","Iraq",19,"Forward",0,0
"Mouhammed Ali Dhaini","Lebanon",30,"Defender",0,0
"Ahmad Madania","Syria",34,"Goalkeeper",0,0
"Alaa Al Dali","Syria",27,"Forward",0,0
"Ammar Ramadan","Syria",23,"Midfielder",0,0
"Amro Jenyat","Syria",31,"Defender",0,0
"Ibrahim Alma","Syria",32,"Goalkeeper",0,0
"Khaled Kerdagli","Syria",27,"Forward",0,0
"Maksim Sarraf","Syria",19,"Midfielder",0,0
"Moayad Al Ajan","Syria",31,"Defender",0,0
"Moayad Al Khouli","Syria",31,"Defender",0,0
"Mohammad Anz","Syria",29,"Midfielder",0,0
"Omar Al Midani","Syria",30,"Defender",0,0
"Omar Khribin","Syria",30,"Forward",2,0
"Taha Mosa","Syria",37,"Goalkeeper",0,0
